"Trade Association ID","Sector Grouping","Association Name","Website Link","Sectors","Brief Description"
"TRADE_ASSOCIATION_0001","General","British and Irish Trade Alliance","https://bita.ie/","All Sectors","BITA is a non profit making organisation that was formed by a group of Irish business people working in the UK to help both Irish and UK companies realize business opportunities to help in the recovery of both economies. BITA whilst focusin"
"TRADE_ASSOCIATION_0002","General","British Chambers of Commerce (BCC)","https://www.britishchambers.org.uk/","All Sectors","The British Chambers of Commerce (BCC) is a dynamic high-profile and independent business network with Chambers across the UK. Local Chambers sit at the heart of the community working with businesses of all sizes and representing all se"
"TRADE_ASSOCIATION_0003","General","Business Networking Institute (BNI)","https://bni.co.uk/en-GB/index","All Sectors","BNI allows only one representative from each trade or profession to join any BNI group. This means clients can lock out their competition ensuring they receive 100% of all new business. Working together BNI members achieve incredible resu"
"TRADE_ASSOCIATION_0004","General","Business In The Community NI","https://www.bitcni.org.uk/networking/","All Sectors","Business in the Community stands for responsible business. Set up in Northern Ireland in 1989 they have over 210 members and are the largest business-led coalition dedicated to corporate responsibility."
"TRADE_ASSOCIATION_0005","General","Chartered Institute of Public Relations","https://www.cipr.co.uk/","All Sectors","Membership of the CIPR is on an individual basis. They offer membership to PR practitioners at all levels in their careers and in all sectors. Whether you work in-house at a consultancy or as an independent or freelance practitioner they"
"TRADE_ASSOCIATION_0006","General","Economic Development Association Scotland (EDAS)","https://edas.org.uk/","All Sectors","The Economic Development Association (Scotland)(EDAS) is the independent voice of economic development in Scotland. EDAS is the country’s foremost membership driven association providing a range of supports and services to organisations and"
"TRADE_ASSOCIATION_0007","General","Federation of Small Businesses","https://www.fsb.org.uk/","All Sectors","The Federation of Small Businesses is the UK's largest campaigning pressure group promoting and protecting the interests of the self-employed and owners of small firms. They offer members a wide range of vital business services including ad"
"TRADE_ASSOCIATION_0008","General","Institute of Directors (IOD)","https://www.iod.com/","All Sectors","IOD is the UK’s longest running organisation for professional leaders dedicated to supporting its members encouraging entrepreneurial activity and promoting responsible business practice for the benefit of the business community and socie"
"TRADE_ASSOCIATION_0009","General","Knowledge Transfer Network","https://ktn-uk.org/","All Sectors","Networks enabling the UK's innovation communities to connect collaberate and discover new opportunities."
"TRADE_ASSOCIATION_0010","General","Knowledge Transfer Partnerships (KTP)","https://www.ktp-uk.org/","All Sectors","Knowledge Transfer Partnerships is a UK-wide programme helping businesses to improve their competitiveness and productivity through the better use of knowledge technology and skills that reside within the UK Knowledge Base."
"TRADE_ASSOCIATION_0011","General","The Institute of Export and International Trade","https://www.export.org.uk/","All Sectors","Established in 1935 the Institute of Export and International Trade is the professional membership body representing and supporting the interests of everyone involved in importing exporting and international trade. Offering a unique range"
"TRADE_ASSOCIATION_0012","General","UK Israel Tech Hub","https://www.ukisraelhub.com/","All Sectors","The UK-Israel Tech Hub at the British Embassy Israel helps economic growth in both countries by partnering British companies with the best of Israeli innovation. The goal is to create partnerships in which British companies help Israeli inn"
"TRADE_ASSOCIATION_0013","Agri Food and Drink","Aberdeen Fish Producers Organisation (AFPO)","https://www.afpo.co.uk/","Agriculture Horticulture and Fisheries","The AFPO is committed to promoting sustainable fishing methods and is involved in a variety of projects including the Sea Fish Industry Authority’s Responsible Fishing Scheme."
