Current URL,New business.gov.uk destination URL,Meta Title,Meta Description
https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/logistics-and-freight-forwarders/incoterms/,https://www.business.gov.uk/export-from-uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/logistics-and-freight-forwarders/incoterms/,Choosing the right incoterms for your goods | business.gov.uk,Learn what incoterms are and why they are important for international goods exporters.
https://www.great.gov.uk/markets/united-states/,https://www.business.gov.uk/export-from-uk/markets/united-states/,Exporting from the UK to the United States | business.gov.uk,"Learn how to export goods and services from the UK to the US. Understand market trends, discover new opportunities for growth and get help to export."
https://www.great.gov.uk/export-academy/events/understanding-the-eus-general-product-safety-regulations-gpsr-31-october-2024/,https://www.business.gov.uk/export-academy/events/understanding-the-eus-general-product-safety-regulations-gpsr-31-october-2024/,GPSR – The EU’s General Product Safety Regulations | business.gov.uk,Learn about GPSR (general product safety regulations) for UK businesses. Understand your role in the supply of when exporting from the UK.
https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-goods-into-the-destination-country/using-commodity-codes/,https://www.business.gov.uk/export-from-uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-goods-into-the-destination-country/using-commodity-codes/,How to use Harmonised System (HS) or commodity codes | business.gov,"Learn how to use commodity codes for your products, why they matter and where you can get support to help get your goods to their destination country."
https://www.great.gov.uk/,https://www.business.gov.uk/export-from-uk/,Export support for UK businesses | business.gov.uk,"Compare international markets, create an export action plan and join the UK Export Academy for free training and expert support."
https://www.great.gov.uk/learn/categories/funding-financing-and-getting-paid/get-paid/how-create-export-invoice/,https://www.business.gov.uk/export-from-uk/learn/categories/funding-financing-and-getting-paid/get-paid/how-create-export-invoice/,How to create a commercial invoice for export | business.gov.uk,Learn how to create a commercial invoice for export. Understand the purpose of an export invoice and why using the correct HS codes are important.
https://www.great.gov.uk/international/investment/,https://www.business.gov.uk/invest-in-uk/investment/,Invest in the UK – Find investment opportunities | business.gov.uk,Expand your business into the UK by finding investment opportunities.  Search by sector and region to discover the right opportunities for your business.
https://www.great.gov.uk/export-academy/,https://www.business.gov.uk/export-academy/,UK Export Academy – Free events and training | business.gov.uk,"Join the UK Export Academy to gain essential skills and knowledge for successful exporting. Access free events, training and advice for UK businesses."
https://www.great.gov.uk/export-academy/events/eu-and-uk-general-product-safety-regulations-gpsr-explained-11-november-2024/,https://www.business.gov.uk/export-academy/events/eu-and-uk-general-product-safety-regulations-gpsr-explained-11-november-2024/,EU and UK General Product Safety Regulations (GPSR) | business.gov.uk,"Learn about GPSR for UK businesses looking to expand internationally. Find out about the new EU product safety regulations, which came into force in December 2024."
https://www.great.gov.uk/learn/categories/prepare-sell-new-country/selling-services-overseas/understanding-withholding-tax-when-exporting-a-service/,https://www.business.gov.uk/export-from-uk/learn/categories/prepare-sell-new-country/selling-services-overseas/understanding-withholding-tax-when-exporting-a-service/,Learn to export - Withholding tax for export services | business.gov,Find out what withholding tax policies are in your target market and how to plan accordingly when exporting a service.
https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-good-out-uk/understand-export-licensing/,https://www.business.gov.uk/export-from-uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-good-out-uk/understand-export-licensing/,Export licensing – Understanding export licensing | business.gov.uk,Understand the main types of export licences in the UK and how to check if you need an export licence for your goods.
https://www.great.gov.uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-good-out-uk/how-make-uk-customs-declaration/,https://www.business.gov.uk/export-from-uk/learn/categories/selling-across-borders-product-and-services-regulations-licensing-and-logistics/get-your-good-out-uk/how-make-uk-customs-declaration/,Learn to export - How to make a UK customs declaration | business.gov,"Learn what a UK customs declaration is, where to get help and advice and the risks associated with not getting it right."
https://www.great.gov.uk/campaign-site/gep/,https://www.business.gov.uk/campaign/gep/,Powering Global Success For Entrepreneurs – set up in the UK,"Find out why the UK is the ideal environment for entrepreneurs to set up and scale their businesses, powering global success for entrepreneurs."
